athlete_id;athlete_full_name;games_participations;first_game;athlete_year_birth
lamberto-mari;Lamberto MARI;2;Helsinki 1952;1933
damar-forbes;Damar FORBES;2;London 2012;1990
ekaterina-poistogova;Ekaterina POISTOGOVA;1;London 2012;1991
tullio-pizzorno;Tullio PIZZORNO;1;Rome 1960;1921
paul-wyatt;Paul WYATT;2;Paris 1924;1907
vibeke-johansen;Vibeke JOHANSEN;1;Atlanta 1996;1978
heide-wollert;Heide WOLLERT;2;Beijing 2008;1982
jose-garcia-1;Jose GARCIA;1;Seoul 1988;1960
jens-pieper;Jens PIEPER;1;Beijing 2008;1968
alexandr-kolobnev;Alexandr KOLOBNEV;3;Athens 2004;1981
marcelle-buhler;Marcelle BÜHLER;1;Garmisch-Partenkirchen 1936;1913
patrick-sang;Patrick SANG;2;Seoul 1988;1964
michael-phelps-ii;Michael PHELPS;5;Sydney 2000;1985
werner-schraut;Werner SCHRAUT;2;Munich 1972;1951
beryl-gastaldello;Beryl GASTALDELLO;2;Rio 2016;1995
john-ruggles-case;John Ruggles CASE;1;Stockholm 1912;1889
sandor-toldy;Sandor TOLDY;1;Paris 1924;1893
mira-nevansuu;Mira NEVANSUU;2;Beijing 2008;1985
tommy-ekblom;Tommy EKBLOM;2;Moscow 1980;1959
congkang-wang;Congkang WANG;1;Tokyo 2020;1996
muhammad-shah-firdaus-sahrom;Muhammad Shah Firdaus SAHROM;1;Tokyo 2020;1995
sandor-nemeth;Sandor NEMETH;1;Moscow 1980;1957
reijo-paivio-nykanen;Reijo Paivio NYKANEN;1;Melbourne 1956;1930
gholam-reza-takhti;Gholam Reza TAKHTI;4;Helsinki 1952;1930
preeda-phengdisth;Preeda PHENGDISTH;1;Munich 1972;1931
yasutoshi-tagami;Yasutoshi TAGAMI;1;Tokyo 1964;1934
in-hoon-lee;In-Hoon LEE;1;Albertville 1992;1970
nabil-lasmari;Nabil LASMARI;1;Beijing 2008;1978
stoyan-bobekov;Stoyan BOBEKOV;1;Montreal 1976;1953
pamela-jelimo;Pamela JELIMO;2;Beijing 2008;1989
ruben-houkes;Ruben HOUKES;1;Beijing 2008;1979
mirat-sarsembayev;Mirat SARSEMBAYEV;1;Beijing 2008;1986
kaare-hovda;Kaare HOVDA;1;Sapporo 1972;1944
lothar-beckert;Lothar BECKERT;2;Melbourne 1956;1931
azmy-mehelba;Azmy MEHELBA;3;London 2012;1991
myrtille-gollin;Myrtille GOLLIN;1;Turin 2006;1984
pablo-carrera;Pablo CARRERA;2;London 2012;1986
madalina-amaistroaie;Madalina AMAISTROAIE;1;Tokyo 2020;2002
gyong-sob-choi;Gyong Sob CHOI;2;Barcelona 1992;1972
martin-stenersen;Martin STENERSEN;1;Paris 1924;1879
georgios-aspiotis;Georgios ASPIOTIS;1;Athens 1896;
anatoli-yarkin;Anatoli YARKIN;1;Moscow 1980;1958
benoit-caranobe;Benoit CARANOBE;2;Athens 2004;1980
lingling-liu;Lingling LIU;1;Tokyo 2020;1994
janusz-komorowski;Janusz KOMOROWSKI;1;Berlin 1936;
masaru-nakashige;Masaru NAKASHIGE;3;Atlanta 1996;1963
rachid-khdar;Rachid KHDAR;1;Barcelona 1992;1967
tomingas;Tuuli TOMINGAS;1;Beijing 2022;1995
roberto-pacheco;Roberto PACHECO;1;Munich 1972;1952
hao-zhang-1;Hao ZHANG;5;Salt Lake City 2002;1984
henri-hakkinen;Henri HAKKINEN;1;Beijing 2008;1980
felicity-field;Felicity FIELD;1;Grenoble 1968;1946
alisher-mukhtarov;Alisher MUKHTAROV;2;Atlanta 1996;1973
paul-romand;Paul ROMAND;3;Cortina d'Ampezzo 1956;1930
kateryna-palekha;Kateryna PALEKHA;2;Athens 2004;1980
john-joachim;John JOACHIM;1;St. Louis 1904;
gildas-guillerot;Gildas GUILLEROT;1;Los Angeles 1984;1963
giacomo-perez-dortona;Giacomo PEREZ DORTONA;1;London 2012;1989
chantal-beaugeant;Chantal BEAUGEANT;2;Los Angeles 1984;1961
haruko-ishida;Haruko ISHIDA;1;Grenoble 1968;1945
yong-mo-heo;Yong-Mo HEO;1;Los Angeles 1984;1965
alisher-rahimov;Alisher RAHIMOV;1;Sydney 2000;1977
pekka-jukka-metsola;Pekka-Jukka METSOLA;1;Seoul 1988;1954
aagje-ada-kok;Aagje Ada KOK;2;Tokyo 1964;1947
taku-nakanishi;Taku NAKANISHI;1;Salt Lake City 2002;1972
sergey-kirdyapkin;Sergey KIRDYAPKIN;2;Beijing 2008;1980
sergiu-postica;Sergiu POSTICA;2;Athens 2004;1985
fatma-rashed;Fatma RASHED;1;London 2012;1984
daniel-rezende-xavier;Daniel REZENDE XAVIER;2;London 2012;1982
nico-mattan;Nico MATTAN;1;Sydney 2000;1971
thomas-gerull;Thomas GERULL;1;Seoul 1988;1962
fitzgerald-joseph;Fitzgerald JOSEPH;1;Seoul 1988;1967
klas-haraldsson;Klas HARALDSSON;1;St. Moritz 1948;1922
atanase-sciotnic;Atanase SCIOTNIC;3;Tokyo 1964;1942
corine-dorland;Corine DORLAND;1;Sydney 2000;1973
daniel-revenu;Daniel REVENU;4;Tokyo 1964;1942
rodney-garossino;Rodney GAROSSINO;1;Calgary 1988;1963
eva-maria-brem;Eva-Maria BREM;1;Vancouver 2010;1988
irina-ektova;Irina EKTOVA;4;Beijing 2008;1987
yobes-ondieki;Yobes ONDIEKI;2;Seoul 1988;1961
piero-italiani;Piero ITALIANI;2;Los Angeles 1984;1962
heather-bergsma;Heather BERGSMA;3;Vancouver 2010;1989
gyorgy-kekes;Gyorgy KEKES;1;Atlanta 1996;1966
mohamed-barguaoui;Mohamed BARGUAOUI;1;Sydney 2000;1975
kimichi-tani;Kimichi TANI;1;Munich 1972;1948
iljo-keisse;Iljo KEISSE;2;Athens 2004;1982
kum-chol-cha;Kum Chol CHA;1;Beijing 2008;1987
yelena-prokhorova;Yelena PROKHOROVA;2;Sydney 2000;1978
jessica-zelinka;Jessica ZELINKA;2;Beijing 2008;1981
roland-jeannerod;Roland JEANNEROD;2;Sapporo 1972;1945
pawel-gaca;Pawel GACA;1;Helsinki 1952;1917
man-hyong-ryu;Man Hyong RYU;2;Tokyo 1964;1941
jorien-voorhuis;Jorien VOORHUIS;1;Vancouver 2010;1984
keiju-okada;Keiju OKADA;1;Tokyo 2020;1995
imre-tagscherer;Imre TAGSCHERER;3;Salt Lake City 2002;1972
oda;Takuro ODA;2;PyeongChang 2018;1992
jingzhi-wang;Jingzhi WANG;3;Athens 2004;1982
siegfried-herrmann;Siegfried HERRMANN;2;Melbourne 1956;1932
kim-andrew-clifford;Kim Andrew CLIFFORD;1;Innsbruck 1976;1956
bernardino-renato-repuyan;Bernardino Renato REPUYAN;1;Munich 1972;1944
noora-laukkanen;Noora LAUKKANEN;2;Beijing 2008;1993
yong-liu;Yong LIU;1;Sydney 2000;1975
chow-chu-chang;Chow-Chu CHANG;1;Berlin 1936;1914
eric-vicomte-de-spoelberg;Eric VICOMTE DE SPOELBERG;1;Garmisch-Partenkirchen 1936;1903
olivier-bausset;Olivier BAUSSET;1;Beijing 2008;1982
vanessa-webb;Vanessa WEBB;1;Sydney 2000;1976
ervin-jerold-barker;Ervin Jerold BARKER;1;St. Louis 1904;1882
artur-dzihasov;Artur DZIHASOV;1;Atlanta 1996;1962
tsz-wa-yip;Tsz Wa YIP;1;Athens 2004;1990
muslim-gadzhimagomedov;Muslim GADZHIMAGOMEDOV;1;Tokyo 2020;1997
jonathan-groth;Jonathan GROTH;2;Rio 2016;1992
juan-sanchez-camero;Juan SANCHEZ CAMERO;1;Rome 1960;1938
patrick-jopp;Patrick JOPP;1;Moscow 1980;1962
ok-im-won;Ok Im WON;1;Beijing 2008;1986
deepika-kumari;Deepika KUMARI;3;London 2012;1994
abraham-kibiwot;Abraham KIBIWOT;1;Tokyo 2020;1996
daniyal-shahbakhsh;Daniyal SHAHBAKHSH;1;Tokyo 2020;2000
andrei-ianko;Andrei IANKO;1;Moscow 1980;1958
veliko-konarov;Veliko KONAROV;1;Tokyo 1964;1940
petra-moroder-1;Petra MORODER;3;Albertville 1992;1969
gabriele-altweck;Gabriele ALTWECK;1;Los Angeles 1984;1963
john-langlois;John LANGLOIS;3;Calgary 1988;1968
lukasz-kubot;Lukasz KUBOT;3;London 2012;1982
andrzej-wojciechowski;Andrzej WOJCIECHOWSKI;1;Melbourne 1956;1933
miku-tashiro;Miku TASHIRO;2;Rio 2016;1994
ferenc-szabo;Ferenc SZABO;1;Munich 1972;1948
mehmet-ozal;Mehmet OZAL;2;Athens 2004;1973
sarah-sjoestroem;Sarah SJOESTROEM;1;Tokyo 2020;1993
henk-van-gent;Henk VAN GENT;1;Moscow 1980;1951
harry-nolte;Harry NOLTE;1;Moscow 1980;1961
ali-shalabi;Ali SHALABI;1;Moscow 1980;
georgi-palazov;Georgi PALAZOV;3;Sydney 2000;1980
rainer-dorrzapf;Rainer DÖRRZAPF;2;Mexico City 1968;1950
ann-marie-hepler;Ann-Marie HEPLER;1;London 2012;1996
chu-en-lai;Chu-En LAI;1;Rio 2016;1996
dylan-carter;Dylan CARTER;2;Rio 2016;1996
michel-lopez-nunez;Michel LOPEZ NUNEZ;1;Athens 2004;1976
reto-hug;Reto HUG;3;Sydney 2000;1975
wolfgang-schillkowski;Wolfgang SCHILLKOWSKI;1;Tokyo 1964;1942
klara-engi;Klara ENGI;3;Sarajevo 1984;1967
bernardo-rimarim;Bernardo RIMARIM;1;Seoul 1988;1962
luis-horna;Luis HORNA;1;Athens 2004;1980
roberto-mottola-di-amato;Roberto MOTTOLA DI AMATO;2;Munich 1972;1954
ernesto-perez-lobo;Ernesto PEREZ LOBO;3;Barcelona 1992;1970
carle-brenneman;Carle BRENNEMAN;1;PyeongChang 2018;1989
evaldas-siskevicius;Evaldas SISKEVICIUS;1;Tokyo 2020;1988
evy-palm;Evy PALM;1;Seoul 1988;1942
derek-hudson;Derek HUDSON;1;Los Angeles 1984;1936
werner-wettersten;Werner WETTERSTEN;2;London 1948;1923
bruno-monti;Bruno MONTI;1;Helsinki 1952;1930
john-farrington;John FARRINGTON;1;Mexico City 1968;1942
yuri-obara;Yuri OBARA;1;Salt Lake City 2002;1980
haralambie;Daniela HARALAMBIE;2;PyeongChang 2018;1997
jan-matous;Jan MATOUS;2;Sarajevo 1984;1961
kirsi-rauta;Kirsi RAUTA;1;Atlanta 1996;1962
erik-jansson;Erik JANSSON;1;Amsterdam 1928;1907
claudia-kriz;Claudia KRIZ;1;Seoul 1988;1967
juan-bascunan;Juan BASCUNAN;1;Antwerp 1920;
ruth-bisibori-nyangau;Ruth Bisibori NYANGAU;1;Beijing 2008;1988
emma-jorgensen;Emma JORGENSEN;2;Rio 2016;1996
giacobbe-fragomeni;Giacobbe FRAGOMENI;1;Sydney 2000;1969
ilia-shtokalov;Ilia SHTOKALOV;2;London 2012;1986
iosvani-kessel;Iosvani KESSEL;1;Sydney 2000;1977
kyle-vashkulat;Kyle VASHKULAT;1;London 2012;1990
koos-moerenhout;Koos MOERENHOUT;1;Sydney 2000;1973
darius-grigalionis;Darius GRIGALIONIS;3;Atlanta 1996;1977
gamal-fathy;Gamal FATHY;1;Beijing 2008;1985
yurika-nakamura;Yurika NAKAMURA;1;Beijing 2008;1986
haruhisa-chiba;Haruhisa CHIBA;2;Sapporo 1972;1951
jeff-tucker;Jeff TUCKER;1;Lake Placid 1980;1956
zhiwei-liu;Zhiwei LIU;1;Athens 2004;1981
darren-james-hall;Darren James HALL;2;Barcelona 1992;1965
peter-crook;Peter CROOK;1;Sochi 2014;1993
esam-sayed;Esam SAYED;2;Sydney 2000;1967
zsolt-levai;Zsolt LEVAI;1;Barcelona 1992;1965
edward-czernik;Edward CZERNIK;1;Tokyo 1964;1940
manon-de-roey;Manon DE ROEY;1;Tokyo 2020;1991
julia-benedetti;Julia BENEDETTI;1;Tokyo 2020;2004
hamilton-sabot;Hamilton SABOT;2;Beijing 2008;1987
dorothy-cunliffe-shepherd-barron;Dorothy Cunliffe SHEPHERD BARRON;1;Paris 1924;1897
luca-pellegrini-1;Luca PELLEGRINI;1;Seoul 1988;1964
sara-hurtado;Sara HURTADO;2;Sochi 2014;1992
meike-evers;Meike EVERS;3;Atlanta 1996;1977
li-huo;Li HUO;1;Turin 2006;1980
hisayoshi-tanaka;Hisayoshi TANAKA;1;Sydney 2000;1979
florencia-gutierrez;Florencia GUTIERREZ;1;Beijing 2008;1970
hugo-cumbo;Hugo CUMBO;1;Tokyo 2020;1996
francisco-sanchez-3;Francisco SANCHEZ;1;Montreal 1976;1956
sepp-schonmetzler;Sepp SCHÖNMETZLER;1;Innsbruck 1964;1944
amar-shah;Amar SHAH;1;Athens 2004;1985
irina-lobacheva;Irina LOBACHEVA;2;Nagano 1998;1973
andrej-klinar;Andrej KLINAR;2;Innsbruck 1964;1942
marlena-karwacka;Marlena KARWACKA;1;Tokyo 2020;1997
ramon-di-clemente;Ramon DI CLEMENTE;3;Sydney 2000;1975
chao-zhou;Chao ZHOU;1;Rio 2016;1987
johan-bernard;Johan BERNARD;1;Sydney 2000;1974
nyunt-hla;Nyunt HLA;1;Rome 1960;1938
sam-bewley;Sam BEWLEY;2;Beijing 2008;1987
elise-ringen;Elise RINGEN;1;Sochi 2014;1989
guy-perillat;Guy PÉRILLAT;3;Squaw Valley 1960;1940
ursula-myren;Ursula MYREN;2;Barcelona 1992;1966
ivan-alemany-villar;Ivan ALEMANY VILLAR;1;Seoul 1988;1967
liam-jegou;Liam JEGOU;1;Tokyo 2020;1996
dagmar-erdman;Dagmar ERDMAN;1;Moscow 1980;1965
luca-tesconi;Luca TESCONI;1;London 2012;1982
nikola-mektic;Nikola MEKTIC;1;Tokyo 2020;1988
