athlete_id;athlete_full_name;games_participations;first_game;athlete_year_birth
hicham-bouaouiche;Hicham BOUAOUICHE;1;Atlanta 1996;1974
vladimir-zubkov;Vladimir ZUBKOV;1;Munich 1972;1948
luis-melendez;Luis MELÉNDEZ;1;Antwerp 1920;
arnold-m-sowell;Arnold M. SOWELL;1;Melbourne 1956;1935
nitendra-singh;Nitendra SINGH;1;Rio 2016;1986
belinda-schreiber;Belinda SCHREIBER;1;Beijing 2008;1978
martha-ernstsdottir;Martha ERNSTSDOTTIR;1;Sydney 2000;1964
brookner-west-brady;Brookner West BRADY;1;Los Angeles 1932;1905
alexandra-zertsalova;Alexandra ZERTSALOVA;1;Sydney 2000;1982
erkin-adylbek-uulu;Erkin ADYLBEK UULU;1;Rio 2016;1991
dao;DAO DAO;1;Moscow 1980;1960
jun-liang;Jun LIANG;2;Barcelona 1992;1969
shuhei-nishida;Shuhei NISHIDA;2;Los Angeles 1932;1910
pio-chirinos;Pio CHIRINOS;1;Helsinki 1952;1929
marian-emma-twining-barone;Marian Emma Twining BARONE;2;London 1948;1924
muzaffer-demirhan;Muzaffer DEMIRHAN;4;St. Moritz 1948;1932
michal-gutowski;Michal GUTOWSKI;1;Berlin 1936;1910
abdel-hamid-yacout;Abdel Hamid YACOUT;1;London 1948;
ryo-tateishi;Ryo TATEISHI;1;London 2012;1989
nora-hoffmann;Nora HOFFMANN;2;Turin 2006;1985
tewelde-estifanos;Tewelde ESTIFANOS;1;Rio 2016;1981
sara-lopez-ravetllat;Sara LOPEZ RAVETLLAT;1;Rio 2016;1992
jan-franek;Jan FRANEK;1;Moscow 1980;1960
sergey-borisenko;Sergey BORISENKO;2;Atlanta 1996;1971
sarah-abitbol;Sarah ABITBOL;1;Nagano 1998;1975
rob-compas;Rob COMPAS;1;Barcelona 1992;1966
farag-aly;Farag ALY;1;Los Angeles 1984;1963
albin-rogelj;Albin ROGELJ;1;Cortina d'Ampezzo 1956;1929
christian-mark;Christian MARK;2;Sarajevo 1984;1962
stephen-pagendam;Stephen PAGENDAM;1;Los Angeles 1984;1961
michal-vabrousek;Michal VABROUSEK;2;Atlanta 1996;1975
vladimir-belyakov;Vladimir BELYAKOV;1;Helsinki 1952;1918
andreas-frey;Andreas FREY;1;Seoul 1988;
nicol-gastaldi;Nicol GASTALDI;2;Vancouver 2010;1990
elvio-jose-flores;Elvio Jose FLORES;1;Tokyo 1964;1939
gabriela-potorac;Gabriela POTORAC;1;Seoul 1988;1973
florence-maheu;Florence MAHEU;1;Tokyo 2020;1993
yongxiang-chang;Yongxiang CHANG;1;Beijing 2008;1983
johann-passler;Johann PASSLER;4;Sarajevo 1984;1961
akira-hayashi;Akira HAYASHI;3;Barcelona 1992;1974
lorena-benites;Lorena BENITES;1;Beijing 2008;1982
beat-hefti;Beat HEFTI;4;Salt Lake City 2002;1978
laszlo-baranyai;Laszlo BARANYAI;1;London 1948;1920
william-henzell;William HENZELL;3;Athens 2004;1982
eric-dunbar;Eric DUNBAR;1;Antwerp 1920;
anatoli-medennikov;Anatoli MEDENNIKOV;1;Lake Placid 1980;1958
marzio-bruseghin;Marzio BRUSEGHIN;1;Beijing 2008;1974
ricky-berens;Ricky BERENS;2;Beijing 2008;1988
jolien-sysmans;Jolien SYSMANS;1;London 2012;1992
carlos-sanchez-estacio;Carlos SANCHEZ ESTACIO;1;London 2012;1988
zygmunt-heljasz;Zygmunt HELJASZ;2;Los Angeles 1932;1908
hans-antonsson;Hans ANTONSSON;1;Rome 1960;1934
liu-2;Xinyu LIU;2;PyeongChang 2018;1994
linda-j-french;Linda J FRENCH;2;Barcelona 1992;1964
jose-beltrao;Jose BELTRAO;1;Berlin 1936;1905
agnieszka-dubrawska;Agnieszka DUBRAWSKA;2;Moscow 1980;1958
ivan-tzvetkov-ivanov;Ivan Tzvetkov IVANOV;1;Helsinki 1952;1921
svetlana-varganova;Svetlana VARGANOVA;1;Moscow 1980;1964
juan-botella-medina;Juan BOTELLA MEDINA;2;Melbourne 1956;1941
graham-fletcher;Graham FLETCHER;1;Montreal 1976;1951
qibin-zhang;Qibin ZHANG;1;Rio 2016;1994
anna-maria-barabino;Anna Maria BARABINO;1;Barcelona 1992;1966
andrew-j-jr-libano;Andrew J. Jr. LIBANO;1;Los Angeles 1932;1903
philippe-berube;Philippe BERUBE;1;Turin 2006;1983
javad-foroughi;Javad FOROUGHI;1;Tokyo 2020;1979
lauri-johannes-vilkko;Lauri Johannes VILKKO;2;London 1948;1925
andrew-peter-austin;Andrew Peter AUSTIN;1;Barcelona 1992;1956
julien-ouedraogo;Julien OUEDRAOGO;1;Beijing 2008;1982
mathias-erang;Mathias ERANG;3;Paris 1924;1902
antje-gleichfeld-braasch;Antje GLEICHFELD-BRAASCH;2;Rome 1960;1938
richard-david-nerurkar;Richard David NERURKAR;2;Barcelona 1992;1964
ettore-blasi;Ettore BLASI;2;Antwerp 1920;1895
mackenzie-brown;Mackenzie BROWN;2;Rio 2016;1995
philippe-rozier;Philippe ROZIER;3;Los Angeles 1984;1963
simona-pop;Simona POP;1;Rio 2016;1988
carlota-rios-laurenzana;Carlota RIOS LAURENZANA;1;Helsinki 1952;1928
alison-sheppard;Alison SHEPPARD;5;Seoul 1988;1972
malika-khakimova;Malika KHAKIMOVA;1;Tokyo 2020;1996
shu-zhan;Shu ZHAN;2;Sydney 2000;1985
francisco-avelar;Francisco AVELAR;1;Seoul 1988;1969
herman-david-larsen;Herman David LARSEN;1;Amsterdam 1928;1902
beata-sokolowska-kulesza;Beata SOKOLOWSKA KULESZA;2;Sydney 2000;1974
vilho-vauhkonen;Vilho VAUHKONEN;2;Stockholm 1912;1877
erwin-koppe;Erwin KOPPE;2;Rome 1960;1938
hagbart-haakonsen;Hagbart HAAKONSEN;1;St. Moritz 1928;1895
allan-lindsay-briggs;Allan Lindsay BRIGGS;1;Stockholm 1912;1873
christian-william-hansez;Christian William HANSEZ;1;Lake Placid 1932;
anders-larson;Anders LARSON;3;Moscow 1980;1958
sofiane-oumiha;Sofiane OUMIHA;2;Rio 2016;1994
aleksandr-grigoriev;Aleksandr GRIGORIEV;1;Moscow 1980;1955
zaur-kuramagomedov;Zaur KURAMAGOMEDOV;1;London 2012;1988
vera-moskalyuk;Vera MOSKALYUK;3;Athens 2004;1981
philip-widmer;Philip WIDMER;1;Turin 2006;1983
judit-ignacio;Judit IGNACIO;2;London 2012;1994
satoshi-yanagisawa;Satoshi YANAGISAWA;1;Sydney 2000;1971
julie-p-vlasto;Julie P. VLASTO;1;Paris 1924;1903
dahlia-mokbel;Dahlia MOKBEL;1;Los Angeles 1984;1969
mohammadali-abdolhamid-geraei;Mohammadali Abdolhamid GERAEI;1;Tokyo 2020;1994
ute-ruhrold;Ute RÜHROLD;2;Sapporo 1972;1954
gerardo-miguel-gomez-counahan;Gerardo Miguel GOMEZ COUNAHAN;1;Sydney 2000;1976
katrine-aalerud;Katrine AALERUD;1;Tokyo 2020;1994
jian-tong;Jian TONG;4;Salt Lake City 2002;1979
derk-jan-van-egmond;Derk Jan VAN EGMOND;1;Los Angeles 1984;1956
bela-de-mezo-2;Béla DE MEZO;1;St. Louis 1904;
christilot-hanson-boylen;Christilot HANSON-BOYLEN;6;Tokyo 1964;1947
eiya-hashimoto;Eiya HASHIMOTO;1;Tokyo 2020;1993
tamas-toth-1;Tamas TOTH;2;Rio 2016;1989
byung-chul-park;Byung-Chul PARK;3;Albertville 1992;1972
hassen-chaktami;Hassen CHAKTAMI;1;Rio 2016;1988
hsiu-li-tsui;Hsiu-Li TSUI;1;Sydney 2000;1973
takayoshi-matsushita;Takayoshi MATSUSHITA;4;Los Angeles 1984;1953
allison-ann-higson;Allison Ann HIGSON;2;Seoul 1988;1973
sven-merkel;Sven MERKEL;1;Barcelona 1992;1965
reijo-haaparanta;Reijo HAAPARANTA;1;Moscow 1980;1958
karol-rommel;Karol ROMMEL;3;Stockholm 1912;1888
ferenc-lorincz-1;Ferenc LÖRINCZ;1;Oslo 1952;1932
nicolas-gruson;Nicolas GRUSON;1;Atlanta 1996;1974
carlos-santos-motta;Carlos SANTOS MOTTA;1;Montreal 1976;1955
bruno-cornet-flores;Bruno CORNET FLORES;1;Atlanta 1996;1977
selcuk-cebi;Selcuk CEBI;2;London 2012;1982
arent-van-soelen;Arent VAN SOELEN;1;Los Angeles 1932;
clemens-jehle;Clemens JEHLE;2;Los Angeles 1984;1958
richard-hutton;Richard HUTTON;1;London 1908;
daniel-kowalski;Daniel KOWALSKI;2;Atlanta 1996;1975
stephen-delancey-benjamin;Stephen Delancey BENJAMIN;1;Los Angeles 1984;1955
andrea-boltz;Andrea BOLTZ;1;Atlanta 1996;1969
jin-wang-1;Jin WANG;1;Los Angeles 1984;1960
matyas-szabo;Matyas SZABO;2;Rio 2016;1991
toyofumi-aruga;Toyofumi ARUGA;1;Innsbruck 1964;1942
herbert-wiedermann;Herbert WIEDERMANN;3;Helsinki 1952;1927
olavi-heikkinen;Olavi HEIKKINEN;1;Moscow 1980;1944
camila-carvalho;Camila CARVALHO;1;Beijing 2008;1981
rui-ji-wang;Rui-Ji WANG;2;Los Angeles 1984;1957
ismael-rivera;Ismael RIVERA;1;Los Angeles 1984;1951
albert-massaquoi;Albert MASSAQUOI;2;Rome 1960;1937
dom-parsons;Dom PARSONS;2;Sochi 2014;1987
betty-mckilligan;Betty MCKILLIGAN;1;Grenoble 1968;1949
antonio-pacenza;Antonio PACENZA;1;Helsinki 1952;1928
david-zogg;David ZOGG;1;St. Moritz 1928;
eugenio-febus;Eugenio FEBUS;1;Mexico City 1968;1949
astier-nicolas;Astier NICOLAS;1;Rio 2016;1989
naomy-boudreau-guertin;Naomy BOUDREAU-GUERTIN;1;Beijing 2022;1999
heinz-weigel;Heinz WEIGEL;1;Rome 1960;1938
travis-mahoney;Travis MAHONEY;1;Rio 2016;1990
dorothy-sarkis-morkis;Dorothy Sarkis MORKIS;1;Montreal 1976;1942
claude-richer;Claude RICHER;1;Oslo 1952;1929
andrii-lysetskyi;Andrii LYSETSKYI;1;Beijing 2022;1998
patrik-chlum;Patrik CHLUM;1;Turin 2006;1981
nooran-ahmed-ali-ba-matraf;Nooran Ahmed Ali BA MATRAF;2;Rio 2016;1999
ulla-rantala;Ulla RANTALA;1;Los Angeles 1984;1957
abbas-qali;Abbas QALI;2;Rio 2016;1992
alina-tararychenkova;Alina TARARYCHENKOVA;1;Beijing 2022;2000
karl-markt;Karl MARKT;1;London 2012;1980
keith-cullen;Keith CULLEN;2;Atlanta 1996;1972
daniel-winkler-1;Daniel WINKLER;2;Los Angeles 1984;1962
carolina-mariani;Carolina MARIANI;3;Barcelona 1992;1972
phuoc-hoang;Phuoc HOANG;1;Rio 2016;1993
primoz-kopac;Primoz KOPAC;1;Albertville 1992;1970
moritz-moos;Moritz MOOS;1;Rio 2016;1994
xiaoxiao-xu;Xiaoxiao XU;1;PyeongChang 2018;1992
sven-eriksson;Sven ERIKSSON;3;St. Moritz 1928;1907
edward-owen-bourne;Edward Owen BOURNE;3;Mexico City 1968;1948
fusako-kono;Fusako KONO;1;Berlin 1936;1916
serguei-smal;Serguei SMAL;2;Barcelona 1992;1968
anna-shackley;Anna SHACKLEY;1;Tokyo 2020;2001
clena-geertje-bimolt;Clena Geertje BIMOLT;2;Tokyo 1964;1945
imre-csjef;Imre CSJEF;1;Moscow 1980;1960
ulrich-salchow;Ulrich SALCHOW;2;London 1908;1877
carlo-janka;Carlo JANKA;3;Vancouver 2010;1986
ambrogio-beretta;Ambrogio BERETTA;1;Amsterdam 1928;
carlos-romero-cruz;Carlos ROMERO CRUZ;1;Mexico City 1968;1942
valerio-aspromonte;Valerio ASPROMONTE;1;London 2012;1987
ranokhon-amanova;Ranokhon AMANOVA;2;London 2012;1994
patricia-rosemary-smythe;Patricia Rosemary SMYTHE;1;Rome 1960;1928
danka-bartekova;Danka BARTEKOVA;4;Beijing 2008;1984
lucien-pothier;Lucien POTHIER;1;Paris 1924;
walter-brack;Walter BRACK;2;St. Louis 1904;1880
adham-omar;Adham OMAR;1;Beijing 2008;1975
nina-ella-damkjer-hansen;Nina Ella Damkjer HANSEN;2;Tokyo 1964;1942
benno-wiss;Benno WISS;1;Los Angeles 1984;1962
mitsuru-matsumura;Mitsuru MATSUMURA;2;Innsbruck 1976;1957
bistra-gospodinova;Bistra GOSPODINOVA;1;Seoul 1988;1966
miguel-angel-martin-perdiguero;Miguel Angel MARTIN PERDIGUERO;1;Sydney 2000;1972
fred-schumann;Fred SCHUMANN;1;Seoul 1988;1959
francisco-maciel;Francisco MACIEL;3;Los Angeles 1984;1964
rogonov;Alexei ROGONOV;1;PyeongChang 2018;1988
michael-stoute;Michael STOUTE;1;Mexico City 1968;
galo-mino;Galo MINO;1;Los Angeles 1984;1953
steffen-fetzner;Steffen FETZNER;3;Seoul 1988;1968
omar-pkhakadze;Omar PKHAKADZE;3;Tokyo 1964;1944
glenn-michibata;Glenn MICHIBATA;1;Seoul 1988;1962
nureddin-boughanmi;Nureddin BOUGHANMI;1;Los Angeles 1984;1960
houshang-montazeralzohour;Houshang MONTAZERALZOHOUR;1;Montreal 1976;1951
albert-richard-barnes;Albert Richard BARNES;1;Berlin 1936;1913
simplice-ribouem;Simplice RIBOUEM;1;Rio 2016;1982
erin-jackson;Erin JACKSON;2;PyeongChang 2018;1992
ngan-yi-cheung;Ngan Yi CHEUNG;1;Tokyo 2020;1993
edson-ismael-ramirez-ramos;Edson Ismael RAMIREZ RAMOS;1;Tokyo 2020;
sven-astrom;Sven ASTRÖM;1;Lake Placid 1932;
alevtina-askarova;Alevtina ASKAROVA;1;Innsbruck 1976;1954
nikoleta-stefanova;Nikoleta STEFANOVA;2;Athens 2004;1984
izabella-yaylyan;Izabella YAYLYAN;1;Tokyo 2020;1995
nicole-broch-larsen;Nicole Broch LARSEN;1;Rio 2016;1993
maria-elena-romero;Maria Elena ROMERO;2;Barcelona 1992;1972
stefan-thanei;Stefan THANEI;1;PyeongChang 2018;1981
ferenc-toma;Ferenc TOMA;1;Montreal 1976;1949
kuddusi-ozdemir;Kuddusi ÖZDEMIR;1;Montreal 1976;1955
nicolae-nitu;Nicolae NITU;1;Barcelona 1992;1969
terence-bartlett;Terence BARTLETT;3;Los Angeles 1984;1963
benoit-gaudet;Benoit GAUDET;1;Athens 2004;1979
gun-il-kim;Gun-Il KIM;1;Los Angeles 1984;
adolfo-consolini;Adolfo CONSOLINI;4;London 1948;1917
casey-barrett;Casey BARRETT;1;Atlanta 1996;1975
tomas-portyk;Tomas PORTYK;3;Sochi 2014;1996
claudina-rossel;Claudina ROSSEL;1;Calgary 1988;1969
grazyna-staszak;Grazyna STASZAK;1;Montreal 1976;1953
sally-jepkosgei-kipyego;Sally Jepkosgei KIPYEGO;2;London 2012;1985
verina-wihongi;Verina WIHONGI;1;Athens 2004;1978
liyan-yu;Liyan YU;1;Tokyo 2020;2000
roland-freier;Roland FREIER;1;Calgary 1988;1964
mary-luz-andia;Mary Luz ANDIA;1;Tokyo 2020;2000
terrance-cauthen;Terrance CAUTHEN;1;Atlanta 1996;1976
antonio-la-penna;Antonio LA PENNA;2;Moscow 1980;1960
ingrid-gustavsson;Ingrid GUSTAVSSON;1;Mexico City 1968;1950
josef-nairz;Josef NAIRZ;1;Innsbruck 1964;1936
branislav-loncar;Branislav LONCAR;2;Rome 1960;1938
george-rattai;George RATTAI;1;Grenoble 1968;1943
nour-aka-sayed;Nour Aka SAYED;1;Tokyo 1964;
ramiro-suarez-garcia;Ramiro SUAREZ GARCIA;1;Mexico City 1968;1944
sheila-janet-taylor-carey;Sheila Janet TAYLOR-CAREY;2;Mexico City 1968;1946
b-sigfrid-hylander;B. Sigfrid HYLANDER;1;Paris 1924;1902
nicholas-paul-mastromatteo;Nicholas Paul MASTROMATTEO;1;Innsbruck 1964;1933
andrew-mackiewicz;Andrew MACKIEWICZ;1;Tokyo 2020;1995
karam-gaber-ibrahim;Karam GABER IBRAHIM;3;Athens 2004;1979
seiji-aochi;Seiji AOCHI;2;Grenoble 1968;1942
michael-shragge;Michael SHRAGGE;1;Innsbruck 1976;1950
alberto-tassotti;Alberto TASSOTTI;1;St. Moritz 1948;1918
antonio-adriano-morais;Antonio Adriano MORAIS;1;Mexico City 1968;1948
olga-pilipova;Olga PILIPOVA;1;Athens 2004;1983
ronald-owen-laird;Ronald Owen LAIRD;4;Rome 1960;1938
yu-chieh-hsieh;Yu-Chieh HSIEH;1;Tokyo 2020;1993
tim-mcrae;Tim MCRAE;2;Barcelona 1992;1970
ilia-todorov;Ilia TODOROV;1;Innsbruck 1976;1953
hanno-selg;Hanno SELG;1;Rome 1960;1932
patricia-walsh;Patricia WALSH;1;Los Angeles 1984;1960
sanaa-atabrour;Sanaa ATABROUR;1;London 2012;1989
olzhas-sattibayev;Olzhas SATTIBAYEV;1;Rio 2016;1988
enrico-porro;Enrico PORRO;3;London 1908;1885
johanna-persson;Johanna PERSSON;1;Athens 2004;1978
annikka-mutanen;Annikka MUTANEN;1;Barcelona 1992;1965
jose-ferreira-de-amorin;Jose FERREIRA DE AMORIN;1;Rome 1960;1934
florencia-szigeti;Florencia SZIGETI;2;Sydney 2000;1981
juha-rannikko;Juha RANNIKKO;1;Moscow 1980;1954
marco-innocenti;Marco INNOCENTI;3;Sydney 2000;1978
juvaughn-harrison;Juvaughn HARRISON;1;Tokyo 2020;1999
modestas-vaiciulis;Modestas VAICIULIS;3;Vancouver 2010;1989
you-feng-zhao;You-Feng ZHAO;1;Seoul 1988;1965
vojislav-bela-torma;Vojislav Bela TORMA;1;Helsinki 1952;1930
maya-bamert;Maya BAMERT;1;Turin 2006;1979
barbara-baldissera;Barbara BALDISSERA;2;Lillehammer 1994;1978
delaney-schnell;Delaney SCHNELL;1;Tokyo 2020;1998
sergey-matviyenko;Sergey MATVIYENKO;2;Atlanta 1996;1972
giulio-calabro;Giulio CALABRO;1;Tokyo 2020;1996
melchior-rudolf-burgin;Melchior Rudolf BÜRGIN;3;Tokyo 1964;1943
hjalmar-eemil-nystrom;Hjalmar Eemil NYSTRÖM;3;Paris 1924;1904
sabino-islas-jimeno;Sabino ISLAS JIMENO;1;Berlin 1936;1917
even-wetten;Even WETTEN;1;Turin 2006;1982
laine-erik;Laine ERIK;2;Tokyo 1964;1942
riad-chibani;Riad CHIBANI;1;Seoul 1988;1964
noe-hernandez;Noe HERNANDEZ;2;Sydney 2000;1978
arisa-murata;Arisa MURATA;3;Vancouver 2010;1990
carolina-toll;Carolina TOLL;1;Sydney 2000;1973
konrad-konig;Konrad KONIG;1;Los Angeles 1984;1961
attilio-lombard;Attilio LOMBARD;1;Sapporo 1972;1944
ari-mannio;Ari MANNIO;2;London 2012;1987
aleksandra-kotlyarova;Aleksandra KOTLYAROVA;1;London 2012;1988
aubrey-bryce;Aubrey BRYCE;1;Mexico City 1968;1949
jirina-ptacnikova;Jirina PTACNIKOVA;2;London 2012;1986
clarisse-cruz;Clarisse CRUZ;2;Beijing 2008;1978
albert-ireton;Albert IRETON;1;London 1908;1879
martin-liddle;Martin LIDDLE;1;Sydney 2000;1978
ulises-valdez-cabrera;Ulises VALDEZ CABRERA;1;Mexico City 1968;1948
yoon-kyeong-jang;Yoon-Kyeong JANG;1;Sydney 2000;1980
gianmarco-tamberi-1;Gianmarco TAMBERI;2;London 2012;1992
mihaly-bodosi;Mihaly BODOSI;1;Berlin 1936;1909
sudesh-kumar;Sudesh KUMAR;2;Mexico City 1968;1950
kun-shung-chang;Kun-Shung CHANG;1;Sarajevo 1984;1961
gabriella-wood;Gabriella WOOD;1;Tokyo 2020;1997
janja-orel;Janja OREL;2;Atlanta 1996;1977
francisco-risiglione;Francisco RISIGLIONE;1;Berlin 1936;1917
kamil-gampe;Kamil GAMPE;1;Amsterdam 1928;
jovan-pajkovic;Jovan PAJKOVIC;1;Mexico City 1968;1946
stephen-poulter;Stephen POULTER;2;Moscow 1980;1961
jens-van-t-wout;Jens VAN 'T WOUT;1;Beijing 2022;2001
ann-janeth-rosendahl;Ann Janeth ROSENDAHL;1;Sarajevo 1984;1959
bekhbayar-erdenebat;Bekhbayar ERDENEBAT;2;Rio 2016;1992
vitaly-koryakin;Vitaly KORYAKIN;1;Beijing 2008;1983
jeff-nygaard;Jeff NYGAARD;3;Atlanta 1996;1972
michael-oduor;Michael ODUOR;1;Barcelona 1992;1962
evangelia-papazoglou;Evangelia PAPAZOGLOU;2;Rio 2016;1995
igving-mondschein;Igving MONDSCHEIN;1;London 1948;1924
ellis-e-coleman;Ellis E COLEMAN;1;London 2012;1991
kim-amb;Kim AMB;3;London 2012;1990
yuji-takada;Yuji TAKADA;2;Montreal 1976;1954
doris-neuner;Doris NEUNER;2;Albertville 1992;1971
bohumil-jauris;Bohumil JAURIS;1;Cortina d'Ampezzo 1956;1933
qiang-liang;Qiang LIANG;1;Barcelona 1992;1973
elina-vaseva;Elina VASEVA;1;Beijing 2008;1986
cevdet-can;Cevdet CAN;1;Albertville 1992;1969
susan-sarah-crehan;Susan Sarah CREHAN;1;Seoul 1988;1956
ivan-yordanov;Ivan YORDANOV;1;Rome 1960;1991
andres-raja;Andres RAJA;1;Beijing 2008;1982
maria-andrade;Maria ANDRADE;1;Rio 2016;1993
roger-menghi;Roger MENGHI;1;Montreal 1976;1935
andrei-drygin;Andrei DRYGIN;3;Salt Lake City 2002;1977
ryan-semple;Ryan SEMPLE;2;Turin 2006;1982
halvor-kongsjorden;Halvor KONGSJORDEN;1;London 1948;1911
lorenzo-marsaglia;Lorenzo MARSAGLIA;1;Tokyo 2020;1996
marie-jesika-dalou;Marie Jesika DALOU;1;Athens 2004;1979
pernille-svarre;Pernille SVARRE;1;Sydney 2000;1961
jennifer-mucino-fernandez;Jennifer MUCINO-FERNANDEZ;1;Tokyo 2020;2002
leonid-fedorov;Leonid FEDOROV;2;Cortina d'Ampezzo 1956;1928
william-john-sharpe;William John SHARPE;3;Melbourne 1956;1932
erich-schoppner;Erich SCHOPPNER;1;Helsinki 1952;1932
hans-hiltebrand;Hans HILTEBRAND;3;Lake Placid 1980;1945
will-brown;Will BROWN;1;Rio 2016;1991
david-ekholm;David EKHOLM;1;Turin 2006;1979
evgeny-popov;Evgeny POPOV;4;Nagano 1998;1976
magdalena-simmermacher;Magdalena SIMMERMACHER;1;Tokyo 2020;1996
yochitl-escobedo;Yochitl ESCOBEDO;1;Seoul 1988;1968
robyn-de-groot;Robyn DE GROOT;1;London 2012;1982
maja-kos;Maja KOS;1;Barcelona 1992;1968
padasak-tanviriyavechakul;Padasak TANVIRIYAVECHAKUL;1;Rio 2016;1996
callum-skinner;Callum SKINNER;1;Rio 2016;1992
chia-che-chang;Chia-Che CHANG;1;London 2012;1983
axel-clerget;Axel CLERGET;2;Rio 2016;1987
massimo-marino;Massimo MARINO;2;Munich 1972;1954
thiranum-jinda;Thiranum JINDA;2;Los Angeles 1984;1957
david-l-romansky;David L. ROMANSKY;1;Mexico City 1968;1938
vinko-galusic;Vinko GALUSIC;1;Montreal 1976;1954
shahar-perkiss;Shahar PERKISS;1;Seoul 1988;1962
miguelina-cobian-hechevarria;Miguelina COBIAN HECHEVARRIA;2;Tokyo 1964;1941
joshua-thompson;Joshua THOMPSON;3;Sarajevo 1984;1962
jean-marc-chouinard;Jean-Marc CHOUINARD;4;Los Angeles 1984;1963
alberto-bauday-salazar;Alberto Bauday SALAZAR;1;Los Angeles 1984;1958
jen-hao-hsu;Jen Hao HSU;1;London 2012;1991
fulgencia-romay-martinez;Fulgencia ROMAY MARTINEZ;3;Mexico City 1968;1944
chris-kappler;Chris KAPPLER;1;Athens 2004;1967
frida-clara;Frida CLARA;1;Garmisch-Partenkirchen 1936;1909
vladimir-grigorev;Vladimir GRIGOREV;3;Salt Lake City 2002;1982
vesna-dekleva;Vesna DEKLEVA;3;Atlanta 1996;1975
rudolf-jeklic;Rudolf JEKLIC;1;Albertville 1992;1965
nancy-johnson;Nancy JOHNSON;2;Atlanta 1996;1974
scott-patterson;Scott PATTERSON;2;PyeongChang 2018;1992
hui-wang-2;Hui WANG;1;London 2012;1984
janos-heder;Janos HEDER;1;Melbourne 1956;1932
mariafe-artacho-del-solar;Mariafe ARTACHO DEL SOLAR;2;Rio 2016;1993
elena-tonetta;Elena TONETTA;1;Beijing 2008;1988
stacy-roiall;Stacy ROIALL;1;Beijing 2008;1977
yoram-kochavy;Yoram KOCHAVY;1;Los Angeles 1984;1962
katsuya-nakamoto;Katsuya NAKAMOTO;1;Salt Lake City 2002;1977
joan-coman;Joan COMAN;1;Garmisch-Partenkirchen 1936;1908
robert-dickson;Robert DICKSON;1;Tokyo 2020;1998
ahmed-ghithe-g-atari;Ahmed Ghithe G ATARI;1;London 2012;1994
toshinari-takaoka;Toshinari TAKAOKA;2;Atlanta 1996;1970
radwan-karout;Radwan KAROUT;1;Moscow 1980;1950
yuriy-hayduk;Yuriy HAYDUK;2;Turin 2006;1985
oliver-gussenberg;Oliver GUSSENBERG;2;Sydney 2000;1978
fernando-gaviria-rendon;Fernando GAVIRIA RENDON;1;Rio 2016;1994
sylvio-de-magalhaes-padilha;Sylvio DE MAGALHAES PADILHA;2;Los Angeles 1932;1919
nixon-kiprotich;Nixon KIPROTICH;2;Seoul 1988;1962
sade-daal;Sade DAAL;1;Athens 2004;1988
borislav-batikov;Borislav BATIKOV;1;Moscow 1980;1959
remus-cosma;Remus COSMA;1;Montreal 1976;1952
david-calder;David CALDER;4;Sydney 2000;1978
philip-laats;Philip LAATS;4;Los Angeles 1984;1963
carlos-antonio-perner;Carlos Antonio PERNER;2;Innsbruck 1964;1947
andrew-barron;Andrew BARRON;2;Sapporo 1972;1951
ludovico-nava;Ludovico NAVA;1;Rome 1960;1929
oleg-vikulov;Oleg VIKULOV;1;Beijing 2008;1987
vincenzo-grassi;Vincenzo GRASSI;3;Tokyo 1964;1938
sarah-stevenson;Sarah STEVENSON;4;Sydney 2000;1983
luvambu-filipe;Luvambu FILIPE;1;Barcelona 1992;1969
dong-lin-jang;Dong-Lin JANG;1;Albertville 1992;1968
joe-salem;Joe SALEM;1;Sydney 2000;1960
nino-schurter;Nino SCHURTER;4;Beijing 2008;1986
charles-mathisen;Charles MATHISEN;2;Garmisch-Partenkirchen 1936;1911
yarelys-barrios;Yarelys BARRIOS;2;Beijing 2008;1983
kevin-thomas-boyd;Kevin Thomas BOYD;1;Seoul 1988;1966
rasul-karam-kashmiri;Rasul Karam KASHMIRI;1;Berlin 1936;1911
thamer-chaim;Thamer CHAIM;1;Munich 1972;1945
german-chiaraviglio;German CHIARAVIGLIO;3;Beijing 2008;1987
emil-o-johansson;Emil O. JOHANSSON;1;Amsterdam 1928;1907
juha-mieto;Juha MIETO;4;Sapporo 1972;1949
oleksandr-khimich;Oleksandr KHIMICH;1;Atlanta 1996;1975
duygu-ulusoy;Duygu ULUSOY;1;Turin 2006;1987
yun-qu;Yun QU;1;Atlanta 1996;1978
vladimir-zografski;Vladimir ZOGRAFSKI;3;Sochi 2014;1993
gheorghe-fazakas;Gheorghe FAZAKAS;1;Sapporo 1972;1958
thomas-schwab;Thomas SCHWAB;2;Sarajevo 1984;1962
stephanie-dubois;Stephanie DUBOIS;1;London 2012;1986
zenfira-magomedalieva;Zenfira MAGOMEDALIEVA;1;Tokyo 2020;1988
patrick-thorens;Patrick THORENS;1;Atlanta 1996;1969
arthur-l-gravel;Arthur L GRAVEL;1;Lake Placid 1932;
patrick-onyango;Patrick ONYANGO;1;Munich 1972;1944
joseph-coombs;Joseph COOMBS;2;Montreal 1976;1952
harry-wolff;Harry WOLFF;1;Paris 1924;1905
carlos-alberto-ramirez-yepes;Carlos Alberto RAMIREZ YEPES;2;Rio 2016;1994
