discipline_title;slug_game;event_title;event_gender;medal_type;participant_type;participant_title;athlete_id;country_name;country_3_letter_code
Cross Country Skiing;innsbruck-1964;15km men;Men;SILVER;Athlete;;harald-gronningen;Norway;NOR
Shooting;seoul-1988;50m running target 3030 shot men;Men;GOLD;Athlete;;tor-heiestad;Norway;NOR
Swimming;sydney-2000;200m butterfly men;Men;GOLD;Athlete;;tom-malchow;United States of America;USA
Figure skating;sochi-2014;Pairs mixed;Mixed;GOLD;GameTeam;Russian Federation team #1;maxim-trankov;Russian Federation;RUS
Swimming;moscow-1980;200m butterfly men;Men;GOLD;Athlete;;sergei-fesenko;Soviet Union;URS
Tennis;barcelona-1992;doubles men;Men;SILVER;GameTeam;South Africa team;piet-norval;South Africa;RSA
Swimming;mexico-city-1968;200m breaststroke men;Men;GOLD;Athlete;;felipe-munoz;Mexico;MEX
Boxing;helsinki-1952;71-75kg men;Men;SILVER;Athlete;;vasile-tita;Romania;ROU
Cross Country Skiing;vancouver-2010;10km women;Women;SILVER;Athlete;;kristina-smigun-vaehi;Estonia;EST
Fencing;munich-1972;foil individual men;Men;BRONZE;Athlete;;christian-noel;France;FRA
Canoe Slalom;tokyo-2020;Men's Canoe;Men;BRONZE;Athlete;;sideris-tasiadis;Germany;GER
Wrestling;beijing-2008;Heavyweight, Freestyle (?72 kilograms) Women;Women;BRONZE;Athlete;;agnieszka-jadwiga-wieszczek-kordus;Poland;POL
Bobsleigh;cortina-d-ampezzo-1956;twoman men;Men;GOLD;GameTeam;Italy team #1;lamberto-dalla-costa;Italy;ITA
Weightlifting;athens-1896;heavyweight - two hand lift men;Men;SILVER;Athlete;;launceston-elliot-1;Great Britain;GBR
Hockey;rio-2016;hockey women;Women;SILVER;GameTeam;Netherlands team;;Netherlands;NED
Athletics;munich-1972;800m men;Men;BRONZE;Athlete;;;Kenya;KEN
Athletics;antwerp-1920;cross country team men;Men;SILVER;GameTeam;Great Britain team;;Great Britain;GBR
Judo;montreal-1976;open category men;Men;BRONZE;Athlete;;shota-chochoshvili;Soviet Union;URS
Athletics;tokyo-1964;long jump men;Men;BRONZE;Athlete;;igor-ter-ovanesyan;Soviet Union;URS
Luge;vancouver-2010;Doubles mixed;Open;SILVER;GameTeam;Latvia team #1;andris-sics;Latvia;LAT
Athletics;mexico-city-1968;long jump men;Men;SILVER;Athlete;;klaus-beer;German Democratic Republic (Germany);GDR
Shooting;stockholm-1912;50m small bore rifle team men;Men;GOLD;GameTeam;Great Britain team;;Great Britain;GBR
Athletics;london-1948;200m men;Men;BRONZE;Athlete;;lloyd-labeach;Panama;PAN
Athletics;athens-2004;4x100m relay men;Men;GOLD;GameTeam;Great Britain team;;Great Britain;GBR
Fencing;sydney-2000;sabre team men;Men;BRONZE;GameTeam;Germany team;;Germany;GER
Athletics;st-louis-1904;200m men;Men;GOLD;Athlete;;archie-hahn;United States of America;USA
Boxing;moscow-1980;57-60kg lightweight men;Men;SILVER;Athlete;;viktor-demianenko;Soviet Union;URS
Boxing;antwerp-1920;508  5352kg bantamweight men;Men;SILVER;Athlete;;;Canada;CAN
Basketball;seoul-1988;basketball women;Women;GOLD;GameTeam;United States team;;United States of America;USA
Boxing;mexico-city-1968;48kg lightflyweight men;Men;GOLD;Athlete;;francisco-brito;Venezuela;VEN
