discipline_title;slug_game;event_title;event_gender;medal_type;participant_type;participant_title;athlete_id;country_name;country_3_letter_code
Swimming;barcelona-1992;100m freestyle men;Men;GOLD;Athlete;;alexander-popov-1;Unified Team;EUN
Diving;antwerp-1920;plain high diving men;Men;BRONZE;Athlete;;john-jansson;Sweden;SWE
Tennis;beijing-2008;doubles men;Men;BRONZE;GameTeam;United States team #1;mike-bryan;United States of America;USA
Table Tennis;atlanta-1996;Singles women;Women;SILVER;Athlete;;jing-chen-1;Chinese Taipei;TPE
Sailing;stockholm-1912;12m mixed;Open;BRONZE;GameTeam;Heatherbell;;Finland;FIN
Swimming;beijing-2008;200m breaststroke women;Women;BRONZE;Athlete;;sara-nordenstam;Norway;NOR
Sailing;sydney-2000;Finn - One Person Dinghy (Heavyweight) men;Men;GOLD;Athlete;;iain-percy;Great Britain;GBR
Shooting;montreal-1976;50m pistol 60 shots mixed;Open;GOLD;Athlete;;uwe-potteck;German Democratic Republic (Germany);GDR
Swimming;rio-2016;4x200m freestyle relay men;Men;GOLD;GameTeam;United States team;;United States of America;USA
Gymnastics Artistic;montreal-1976;individual all-round women;Women;GOLD;Athlete;;nadia-comaneci;Romania;ROU
Swimming;mexico-city-1968;200m backstroke women;Women;GOLD;Athlete;;lillian-debra-watson;United States of America;USA
Swimming;rome-1960;400m freestyle women;Women;SILVER;Athlete;;jane-cederqvist;Sweden;SWE
Athletics;atlanta-1996;400m hurdles men;Men;SILVER;Athlete;;samuel-matete-1;Zambia;ZAM
Canoe Sprint;athens-2004;K4 500m kayak four women;Women;GOLD;GameTeam;Germany team;;Germany;GER
Athletics;seoul-1988;110m hurdles men;Men;BRONZE;Athlete;;anthony-eugene-campbell;United States of America;USA
Swimming;barcelona-1992;1500m freestyle men;Men;SILVER;Athlete;;glen-clifford-housman;Australia;AUS
Boxing;berlin-1936;Lightweight men;Men;SILVER;Athlete;;nikolai-stepulov;Estonia;EST
Cross Country Skiing;vancouver-2010;Team sprint women;Women;BRONZE;GameTeam;Russian Federation team;irina-khazova;Russian Federation;RUS
Ski Jumping;beijing-2022;Men's NH Individual;Men;GOLD;Athlete;;kobayashi;Japan;JPN
Boxing;seoul-1988;48-51kg flyweight men;Men;SILVER;Athlete;;andreas-tews;German Democratic Republic (Germany);GDR
Athletics;atlanta-1996;marathon men;Men;GOLD;Athlete;;josia-thugwane;South Africa;RSA
Equestrian Jumping;antwerp-1920;individual mixed;Men;GOLD;Athlete;;tommaso-lequio-di-assaba;Italy;ITA
Wrestling;beijing-2008;Flyweight, Freestyle (?48 kilograms) Women;Women;BRONZE;Athlete;;iryna-shtanhyeyeva;Ukraine;UKR
Athletics;st-louis-1904;All-Around Championship Men;Men;BRONZE;Athlete;;thomas-truxton-hare;United States of America;USA
Athletics;paris-1924;1500m men;Men;SILVER;Athlete;;wilhelm-scharer;Switzerland;SUI
Cycling Road;rome-1960;individual road race men;Men;SILVER;Athlete;;livio-trape;Italy;ITA
Cross Country Skiing;cortina-d-ampezzo-1956;30km mass start men;Men;GOLD;Athlete;;veikko-hakulinen;Finland;FIN
Rowing;seoul-1988;double sculls 2x women;Women;BRONZE;GameTeam;Bulgaria team;violeta-ninova;Bulgaria;BUL
Figure skating;sochi-2014;Individual men;Men;SILVER;Athlete;;patrick-chan;Canada;CAN
Wrestling;los-angeles-1984;Welterweight, Freestyle (?74 kilograms) Men;Men;BRONZE;Athlete;;saban-sejdi;Yugoslavia;YUG
Freestyle Skiing;nagano-1998;Moguls men;Men;SILVER;Athlete;;janne-lahtela;Finland;FIN
Cross Country Skiing;albertville-1992;30km mass start men;Men;GOLD;Athlete;;vegard-ulvang;Norway;NOR
Swimming;atlanta-1996;4x100m freestyle relay women;Women;BRONZE;GameTeam;Germany team;;Germany;GER
Rowing;sydney-2000;eight with coxswain 8 women;Women;GOLD;GameTeam;Romania team;;Romania;ROU
Swimming;moscow-1980;200m butterfly women;Women;GOLD;Athlete;;ines-geissler;German Democratic Republic (Germany);GDR
Athletics;london-1948;200m men;Men;GOLD;Athlete;;melvin-emery-patton;United States of America;USA
Figure skating;beijing-2022;Team Event;Mixed;GOLD;GameTeam;ROC;kamila-valieva;ROC;ROC
Fencing;atlanta-1996;sabre team men;Men;GOLD;GameTeam;Russian Federation team;;Russian Federation;RUS
Sailing;melbourne-1956;sharpie 12m2 mixed;Open;GOLD;GameTeam;Jest;;New Zealand;NZL
Swimming;paris-1924;200m breaststroke men;Men;GOLD;Athlete;;robert-skelton;United States of America;USA
Basketball;montreal-1976;basketball men;Men;GOLD;GameTeam;United States team;;United States of America;USA
Equestrian Dressage;los-angeles-1932;individual mixed;Men;GOLD;Athlete;;xavier-francois-lesage;France;FRA
Boxing;berlin-1936;Welterweight men;Men;SILVER;Athlete;;michael-murach;Germany;GER
Skateboarding;tokyo-2020;Women's Park;Women;SILVER;Athlete;;kokona-hiraki;Japan;JPN
Fencing;moscow-1980;sabre individual men;Men;GOLD;Athlete;;viktor-krovopuskov;Soviet Union;URS
Wrestling;sydney-2000;Middleweight, Greco-Roman (?76 kilograms) Men;Men;SILVER;Athlete;;matt-james-lindland;United States of America;USA
Boxing;barcelona-1992;67  71kg lightmiddleweight men;Men;BRONZE;Athlete;;gyorgy-mizsei;Hungary;HUN
Swimming;sydney-2000;200m breaststroke women;Women;SILVER;Athlete;;kristy-kowal;United States of America;USA
Boxing;london-2012;69 - 75 kg men;Men;SILVER;Athlete;;esquiva-falcao-florentino;Brazil;BRA
Alpine Skiing;salt-lake-city-2002;downhill men;Men;BRONZE;Athlete;;stephan-eberharter;Austria;AUT
Boxing;barcelona-1992;48-51kg flyweight men;Men;BRONZE;Athlete;;timothy-austin;United States of America;USA
Boxing;rome-1960;60-63.5kg lightwelterweigh men;Men;BRONZE;Athlete;;marian-kasprzyk;Poland;POL
Athletics;los-angeles-1984;100m hurdles women;Women;SILVER;Athlete;;shirley-strong;Great Britain;GBR
Cross Country Skiing;turin-2006;30km women;Women;SILVER;Athlete;;;Russian Federation;RUS
Canoe Slalom;london-2012;C2 canoe double men;Men;BRONZE;GameTeam;Slovakia team;pavol-hochschorner;Slovakia;SVK
Canoe Sprint;tokyo-2020;Women's Kayak Double 500m;Women;BRONZE;GameTeam;Hungary;danuta-kozak;Hungary;HUN
Boxing;beijing-2008;48-51kg flyweight men;Men;SILVER;Athlete;;;Cuba;CUB
Cycling Track;sydney-2000;Madison men;Men;SILVER;GameTeam;Belgium team;matthew-gilmore;Belgium;BEL
Wrestling;los-angeles-1984;Light-Heavyweight, Freestyle (?90 kilograms) Men;Men;BRONZE;Athlete;;noel-loban;Great Britain;GBR
Shooting;melbourne-1956;trap 125 targets men;Men;GOLD;Athlete;;galliano-rossini;Italy;ITA
Athletics;rio-2016;100m women;Women;SILVER;Athlete;;tori-bowie;United States of America;USA
Biathlon;sochi-2014;12.5km pursuit men;Men;SILVER;Athlete;;ondrej-moravec;Czech Republic;CZE
Biathlon;pyeongchang-2018;Men�s 4x7.5km Relay;Men;BRONZE;GameTeam;Germany team;;Germany;GER
Archery;rio-2016;Individual competition men;Men;GOLD;Athlete;;bonchan-ku;Republic of Korea;KOR
Fencing;atlanta-1996;sabre team men;Men;SILVER;GameTeam;Hungary team;;Hungary;HUN
Weightlifting;montreal-1976;56kg bantamweight men;Men;GOLD;Athlete;;;Bulgaria;BUL
Athletics;rio-2016;100m men;Men;GOLD;Athlete;;usain-bolt;Jamaica;JAM
Swimming;atlanta-1996;100m butterfly men;Men;SILVER;Athlete;;scott-miller;Australia;AUS
Athletics;beijing-2008;discus throw men;Men;BRONZE;Athlete;;virgilijus-alekna;Lithuania;LTU
Athletics;london-1948;shot put men;Men;GOLD;Athlete;;wilbur-marvin-thompson;United States of America;USA
Canoe Sprint;barcelona-1992;K1 500m kayak single women;Women;SILVER;Athlete;;rita-koban;Hungary;HUN
Artistic Gymnastics;tokyo-2020;Men's Horizontal Bar;Men;BRONZE;Athlete;;nikita-nagornyy;ROC;ROC
Tennis;barcelona-1992;Singles men;Men;SILVER;Athlete;;jordi-arrese;Spain;ESP
Wrestling;montreal-1976;Light-Heavyweight, Greco-Roman (?90 kilograms) Men;Men;SILVER;Athlete;;stoyan-ivanov;Bulgaria;BUL
Speed skating;lillehammer-1994;10000m men;Men;SILVER;Athlete;;kjell-storelid;Norway;NOR
Cycling Mountain Bike;atlanta-1996;cross-country women;Women;GOLD;Athlete;;paola-pezzo;Italy;ITA
Wrestling;london-1948;Heavyweight, Greco-Roman (>87 kilograms) Men;Men;SILVER;Athlete;;tor-nilsson;Sweden;SWE
Athletics;los-angeles-1932;high jump women;Women;SILVER;Athlete;;mildred-didrikson;United States of America;USA
Gymnastics Artistic;los-angeles-1984;individual all-round women;Women;GOLD;Athlete;;mary-lou-retton;United States of America;USA
Wrestling;stockholm-1912;Middleweight A, Greco-Roman (?75 kilograms) Men;Men;SILVER;Athlete;;martin-klein;Russian Federation;RUS
Snowboard;salt-lake-city-2002;Giant parallel slalom men;Men;SILVER;Athlete;;richard-rikardsson;Sweden;SWE
Judo;montreal-1976;80 - 93kg (half-heavyweight) men;Men;BRONZE;Athlete;;jurg-rothlisberger;Switzerland;SUI
Shooting;athens-1896;25m rapid fire pistol 60 shots men;Men;GOLD;Athlete;;;Greece;GRE
Rowing;atlanta-1996;lightweight double sculls 2x women;Women;GOLD;GameTeam;Romania team;constanta-burcica;Romania;ROU
Taekwondo;tokyo-2020;Men -68kg;Men;BRONZE;Athlete;;shuai-zhao;People's Republic of China;CHN
Swimming;los-angeles-1984;200m backstroke women;Women;GOLD;Athlete;;jolanda-de-rover;Netherlands;NED
Fencing;melbourne-1956;pe individual men;Men;BRONZE;Athlete;;edoardo-mangiarotti;Italy;ITA
Wrestling;tokyo-1964;Light-Heavyweight, Freestyle (?97 kilograms) Men;Men;SILVER;Athlete;;ahmet-ayik;Turkey;TUR
Swimming;st-louis-1904;100m backstroke men;Men;GOLD;Athlete;;walter-brack;Germany;GER
Rowing;tokyo-1964;four-oared shell with coxswain men;Men;SILVER;GameTeam;Italy team;;Italy;ITA
Swimming;atlanta-1996;200m individual medley women;Women;SILVER;Athlete;;marianne-luise-limpert;Canada;CAN
Weightlifting;los-angeles-1984;60-67.5kg lightweight men;Men;SILVER;Athlete;;andrei-socaci;Romania;ROU
Sailing;rio-2016;49er FX Women women;Women;SILVER;GameTeam;New Zealand team;molly-meech;New Zealand;NZL
Athletics;stockholm-1912;110m hurdles men;Men;BRONZE;Athlete;;martin-hawkins;United States of America;USA
Athletics;beijing-2008;marathon women;Women;GOLD;Athlete;;constantina-tomescu;Romania;ROU
Gymnastics Artistic;london-1948;team competition women;Women;GOLD;GameTeam;Czechoslovakia team;;Czechoslovakia;TCH
Gymnastics Artistic;moscow-1980;floor exercises men;Men;BRONZE;Athlete;;aleksandr-dityatin;Soviet Union;URS
Gymnastics Artistic;rome-1960;vault women;Women;GOLD;Athlete;;;Soviet Union;URS
Cross Country Skiing;calgary-1988;Relay 4x10km men;Men;SILVER;GameTeam;Soviet Union team;;Soviet Union;URS
Diving;tokyo-2020;Men's 3m Springboard;Men;GOLD;Athlete;;siyi-xie;People's Republic of China;CHN
Skateboarding;tokyo-2020;Men's Park;Men;SILVER;Athlete;;pedro-barros;Brazil;BRA
Freestyle Skiing;vancouver-2010;Aerials women;Women;BRONZE;Athlete;;xinxin-guo;People's Republic of China;CHN
Boxing;rio-2016;60 kg light women;Women;GOLD;Athlete;;estelle-mossely;France;FRA
Cycling Track;tokyo-2020;Men's Team Pursuit;Men;BRONZE;GameTeam;Australia;;Australia;AUS
Swimming;los-angeles-1932;100m freestyle men;Men;GOLD;Athlete;;yasuji-mioyazaki;Japan;JPN
Rowing;rio-2016;double sculls 2x women;Women;SILVER;GameTeam;Great Britain team;katherine-grainger;Great Britain;GBR
Judo;tokyo-1964;80kg heavyweight men;Men;SILVER;Athlete;;alfred-harold-douglas-rogers;Canada;CAN
Modern Pentathlon;montreal-1976;Individual competition men;Men;SILVER;Athlete;;pavel-lednev;Soviet Union;URS
Figure skating;london-1908;Individual women;Women;GOLD;Athlete;;florence-syers;Great Britain;GBR
Athletics;melbourne-1956;decathlon men;Men;BRONZE;Athlete;;vasili-kuznetsov;Soviet Union;URS
Tennis;atlanta-1996;Singles men;Men;SILVER;Athlete;;sergi-bruguera;Spain;ESP
Nordic Combined;sochi-2014;Individual LH men;Men;BRONZE;Athlete;;fabian-riessle;Germany;GER
Athletics;mexico-city-1968;1500m men;Men;BRONZE;Athlete;;bodo-tummler;Federal Republic of Germany;FRG
Canoe Sprint;los-angeles-1984;C2 500m canoe double men;Men;GOLD;GameTeam;Yugoslavia team;matija-ljubek;Yugoslavia;YUG
Sailing;paris-1924;8m mixed;Open;BRONZE;GameTeam;Namoussa;;France;FRA
Speed skating;sarajevo-1984;3000m women;Women;BRONZE;Athlete;;gabi-zange;German Democratic Republic (Germany);GDR
Gymnastics Artistic;moscow-1980;vault women;Women;SILVER;Athlete;;steffi-kraker;German Democratic Republic (Germany);GDR
Athletics;antwerp-1920;javelin throw men;Men;BRONZE;Athlete;;paavo-johansson;Finland;FIN
Wrestling;melbourne-1956;Lightweight, Greco-Roman (?67 kilograms) Men;Men;BRONZE;Athlete;;gyula-toth-2;Hungary;HUN
Modern Pentathlon;seoul-1988;Individual competition men;Men;SILVER;Athlete;;carlo-massullo;Italy;ITA
Athletics;los-angeles-1984;shot put women;Women;GOLD;Athlete;;claudia-losch;Federal Republic of Germany;FRG
Swimming;london-2012;4x100m medley relay women;Women;SILVER;GameTeam;Australia team;;Australia;AUS
Athletics;seoul-1988;shot put women;Women;SILVER;Athlete;;kathrin-neimke;German Democratic Republic (Germany);GDR
Luge;calgary-1988;Singles men;Men;SILVER;Athlete;;georg-hackl;Federal Republic of Germany;FRG
Fencing;melbourne-1956;foil individual women;Women;SILVER;Athlete;;olga-orban-szabo;Romania;ROU
Gymnastics Artistic;athens-2004;individual all-round men;Men;GOLD;Athlete;;paul-hamm;United States of America;USA
Cross Country Skiing;salt-lake-city-2002;Relay 4x10km men;Men;GOLD;GameTeam;Norway team;;Norway;NOR
Rowing;paris-1900;single sculls 1x men;Men;BRONZE;Athlete;;saint-george-ashe;Great Britain;GBR
Water Polo;antwerp-1920;water polo men;Men;BRONZE;GameTeam;Sweden team;;Sweden;SWE
Swimming;montreal-1976;200m butterfly men;Men;GOLD;Athlete;;mike-bruner;United States of America;USA
Gymnastics Artistic;barcelona-1992;vault women;Women;BRONZE;Athlete;;;Unified Team;EUN
Speed skating;sapporo-1972;3000m women;Women;BRONZE;Athlete;;atje-deelstra;Netherlands;NED
Cycling Road;rio-2016;individual time trial men;Men;GOLD;Athlete;;fabian-cancellara;Switzerland;SUI
Athletics;paris-1924;discus throw men;Men;GOLD;Athlete;;lemuel-clarence-houser;United States of America;USA
Biathlon;vancouver-2010;15km mass start men;Men;GOLD;Athlete;;evgeny-ustyugov;Russian Federation;RUS
Equestrian Jumping;tokyo-1964;individual mixed;Open;GOLD;Athlete;;pierre-jonqueres-d-oriola;France;FRA
Cross Country Skiing;lillehammer-1994;Relay 4x5km women;Women;SILVER;GameTeam;Norway team;;Norway;NOR
Athletics;helsinki-1952;marathon men;Men;SILVER;Athlete;;reinaldo-gorno;Argentina;ARG
Swimming;tokyo-2020;Women's 400m Individual Medley;Women;GOLD;Athlete;;yui-ohashi;Japan;JPN
Swimming;munich-1972;200m freestyle women;Women;GOLD;Athlete;;shane-gould;Australia;AUS
Athletics;barcelona-1992;10000m men;Men;GOLD;Athlete;;khalid-skah;Morocco;MAR
Wrestling;rome-1960;Lightweight, Freestyle (?67 kilograms) Men;Men;GOLD;Athlete;;shelby-autrie-wilson;United States of America;USA
Diving;berlin-1936;10m platform men;Men;GOLD;Athlete;;marshall-wayne;United States of America;USA
Canoe Sprint;tokyo-2020;Men's Canoe Double 1000m;Men;SILVER;GameTeam;China;hao-liu-x6188;People's Republic of China;CHN
Swimming;sydney-2000;200m backstroke men;Men;GOLD;Athlete;;lenny-krayzelburg;United States of America;USA
Wrestling;amsterdam-1928;Light-Heavyweight, Greco-Roman (?82.5 kilograms) Men;Men;GOLD;Athlete;;;Egypt;EGY
Wrestling;moscow-1980;Super-Heavyweight, Freestyle (>100 kilograms) Men;Men;GOLD;Athlete;;soslan-andiev;Soviet Union;URS
Equestrian Dressage;montreal-1976;individual mixed;Open;GOLD;Athlete;;christine-stuckelberger;Switzerland;SUI
Marathon Swimming;rio-2016;Marathon - 10 km men;Men;GOLD;Athlete;;ferry-weertman;Netherlands;NED
Alpine Skiing;turin-2006;downhill women;Women;SILVER;Athlete;;martina-schild;Switzerland;SUI
Bobsleigh;sochi-2014;two-man men;Men;BRONZE;GameTeam;Latvia team #1;oskars-melbardis;Latvia;LAT
Canoe Sprint;munich-1972;K2 1000m kayak double men;Men;GOLD;GameTeam;Soviet Union team;;Soviet Union;URS
Gymnastics Artistic;tokyo-1964;team competition women;Women;BRONZE;GameTeam;Japan team;;Japan;JPN
Water Motorsports;london-1908;open class A men;Open;GOLD;GameTeam;Camille;;France;FRA
Speed skating;sapporo-1972;5000m men;Men;GOLD;Athlete;;ard-schenk;Netherlands;NED
Equestrian Jumping;helsinki-1952;individual mixed;Men;GOLD;Athlete;;pierre-jonqueres-d-oriola;France;FRA
Athletics;munich-1972;100m women;Women;GOLD;Athlete;;renate-stecher;German Democratic Republic (Germany);GDR
Sailing;tokyo-2020;Laser Men;Men;SILVER;Athlete;;tonci-stipanovic;Croatia;CRO
Equestrian Dressage;rio-2016;Dressage Team Grand Prix mixed;Open;SILVER;GameTeam;Great Britain team;;Great Britain;GBR
Rowing;amsterdam-1928;pair without coxswain 2 men;Men;BRONZE;GameTeam;United States team;paul-l-mcdowell;United States of America;USA
Table Tennis;beijing-2008;Singles women;Women;SILVER;Athlete;;nan-wang-5;People's Republic of China;CHN
Luge;vancouver-2010;Singles men;Men;BRONZE;Athlete;;armin-zoeggeler;Italy;ITA
Swimming;atlanta-1996;50m freestyle women;Women;GOLD;Athlete;;amy-van-dyken;United States of America;USA
Trampoline;sydney-2000;Individual women;Women;BRONZE;Athlete;;karen-cockburn;Canada;CAN
Wrestling;los-angeles-1984;Bantamweight, Freestyle (?57 kilograms) Men;Men;GOLD;Athlete;;hideaki-tomiyama;Japan;JPN
Archery;antwerp-1920;fixed bird target small bird teams men;Men;GOLD;GameTeam;Belgium team;;Belgium;BEL
Judo;sydney-2000;90  100kg halfheavyweight men;Men;BRONZE;Athlete;;;Russian Federation;RUS
Rowing;melbourne-1956;pair without coxswain 2 men;Men;BRONZE;GameTeam;Austria team;alfred-sageder;Austria;AUT
Canoe Sprint;tokyo-1964;K4 1000m kayak four men;Men;BRONZE;GameTeam;Romania team;;Romania;ROU
Rowing;st-louis-1904;Coxless Pairs Men;Men;BRONZE;GameTeam;Western Rowing Club #3;john-joachim;United States of America;USA
Equestrian Jumping;paris-1900;high jump mixed;Open;GOLD;Athlete;;gian-giorgio-trissino;Italy;ITA
Athletics;rome-1960;800m men;Men;BRONZE;Athlete;;george-ezekiel-kerr;West Indies Federation;WIF
Swimming;amsterdam-1928;400m freestyle women;Women;GOLD;Athlete;;martha-norelius;United States of America;USA
Shooting;athens-1896;25m army pistol men;Men;SILVER;Athlete;;sumner-paine;United States of America;USA
Sailing;paris-1900;3-10 Ton Race One Open;Open;GOLD;GameTeam;Femur #1;;France;FRA
Swimming;los-angeles-1984;200m butterfly men;Men;GOLD;Athlete;;jonathan-sieben;Australia;AUS
Tennis;paris-1924;mixed doubles mixed;Mixed;SILVER;GameTeam;United States team #2;vincent-richards;United States of America;USA
Cycling Track;tokyo-1964;2000m tandem men;Men;BRONZE;GameTeam;Germany team;klaus-kobusch;Germany;GER
Sailing;rio-2016;Laser Radial - One Person Dinghy women;Women;GOLD;Athlete;;marit-bouwmeester;Netherlands;NED
Boxing;moscow-1980;48-51kg flyweight men;Men;GOLD;Athlete;;petr-lesov;Bulgaria;BUL
Bobsleigh;grenoble-1968;two-man men;Men;GOLD;GameTeam;Italy team #1;eugenio-monti;Italy;ITA
Canoe Sprint;melbourne-1956;C1 1000m canoe single men;Men;SILVER;Athlete;;istvan-hernek;Hungary;HUN
Freestyle Skiing;beijing-2022;Mixed Team Aerials;Mixed;SILVER;GameTeam;China;;People's Republic of China;CHN
Rowing;melbourne-1956;four-oared shell with coxswain men;Men;GOLD;GameTeam;Italy team;;Italy;ITA
Athletics;rio-2016;4x400m relay men;Men;GOLD;GameTeam;United States team;;United States of America;USA
Speed skating;turin-2006;Team pursuit men;Men;BRONZE;GameTeam;Netherlands team;;Netherlands;NED
Wrestling;tokyo-1964;Featherweight, Greco-Roman (?63 kilograms) Men;Men;SILVER;Athlete;;roman-rurua;Soviet Union;URS
Gymnastics Artistic;moscow-1980;vault men;Men;BRONZE;Athlete;;roland-bruckner;German Democratic Republic (Germany);GDR
Athletics;moscow-1980;pentathlon women;Women;SILVER;Athlete;;olga-rukavishnikova;Soviet Union;URS
Judo;tokyo-2020;Women -52 kg;Women;BRONZE;Athlete;;odette-giuffrida;Italy;ITA
Athletics;moscow-1980;discus throw women;Women;SILVER;Athlete;;maria-vergova-petkova;Bulgaria;BUL
Swimming;los-angeles-1984;200m freestyle women;Women;BRONZE;Athlete;;annemarie-verstappen;Netherlands;NED
Athletics;los-angeles-1984;4x400m relay women;Women;GOLD;GameTeam;United States team;;United States of America;USA
Wrestling;tokyo-2020;Men's Freestyle 97kg;Men;BRONZE;Athlete;;abraham-de-jesus-conyedo-ruano;Italy;ITA
Canoe Sprint;tokyo-1964;C2 1000m canoe double men;Men;BRONZE;GameTeam;Denmark team;john-rungsted-sorensen;Denmark;DEN
Freestyle Skiing;beijing-2022;Men's Freeski Big Air;Men;BRONZE;Athlete;;henrik-harlaut;Sweden;SWE
Figure skating;lake-placid-1932;Pairs mixed;Mixed;BRONZE;GameTeam;Hungary team #1;laszlo-szollas;Hungary;HUN
Cross Country Skiing;calgary-1988;10km women;Women;BRONZE;Athlete;;marjo-matikainen;Finland;FIN
Rowing;athens-2004;double sculls 2x women;Women;BRONZE;GameTeam;Great Britain team;sarah-winckless;Great Britain;GBR
Boxing;los-angeles-1984;67-71kg lightmiddleweight men;Men;GOLD;Athlete;;frank-tate;United States of America;USA
Canoe Sprint;mexico-city-1968;C2 1000m canoe double men;Men;GOLD;GameTeam;Romania team;serghei-covaliov;Romania;ROU
Sailing;rome-1960;flying dutchman mixed;Open;GOLD;GameTeam;Sirene;bjorn-bergvall;Norway;NOR
Wrestling;mexico-city-1968;Heavyweight, Freestyle (>97 kilograms) Men;Men;SILVER;Athlete;;osman-duraliev;Bulgaria;BUL
Boxing;london-2012;+ 91kg (super heavyweight) men;Men;BRONZE;Athlete;;;Azerbaijan;AZE
Wrestling;melbourne-1956;Heavyweight, Greco-Roman (>87 kilograms) Men;Men;SILVER;Athlete;;wilfried-dietrich;Germany;GER
Shooting;montreal-1976;50m rifle 3 positions 3x40 shots mixed;Open;GOLD;Athlete;;lanny-bassham;United States of America;USA
Gymnastics Artistic;berlin-1936;individual all-round men;Men;GOLD;Athlete;;karl-alfred-schwarzmann;Germany;GER
Rowing;london-2012;double sculls 2x women;Women;SILVER;GameTeam;Australia team;kim-crow;Australia;AUS
Boxing;munich-1972;51-54kg bantamweight men;Men;SILVER;Athlete;;alfonso-zamora;Mexico;MEX
Athletics;beijing-2008;hammer throw men;Men;BRONZE;Athlete;;ivan-tikhon;Belarus;BLR
Shooting;los-angeles-1984;50m rifle 3 positions 3x20 shots women;Women;SILVER;Athlete;;ulrike-holmer;Federal Republic of Germany;FRG
Water Polo;barcelona-1992;water polo men;Men;SILVER;GameTeam;Spain team;;Spain;ESP
Tennis;st-louis-1904;Singles men;Men;BRONZE;Athlete;;edgar-welch-leonard;United States of America;USA
Synchronized Swimming;barcelona-1992;solo women;Women;GOLD;Athlete;;sylvie-frechette;Canada;CAN
Karate;tokyo-2020;Men's Kumite +75kg;Men;GOLD;Athlete;;sajad-ganjzadeh;Islamic Republic of Iran;IRI
Sailing;los-angeles-1932;twoperson keelboat open Star mixed;Open;GOLD;GameTeam;Jupiter;andrew-j-jr-libano;United States of America;USA
Freestyle Skiing;sochi-2014;Ski Halfpipe men;Men;BRONZE;Athlete;;kevin-rolland;France;FRA
Gymnastics Artistic;helsinki-1952;uneven bars women;Women;BRONZE;Athlete;;agnes-keleti;Hungary;HUN
Cycling Track;paris-1924;Team Pursuit 4000m men;Men;SILVER;GameTeam;Poland team;;Poland;POL
Canoe Sprint;barcelona-1992;K4 1000m kayak four men;Men;SILVER;GameTeam;Hungary team;;Hungary;HUN
Rowing;los-angeles-1984;pair without coxswain 2 men;Men;GOLD;GameTeam;Romania team;valer-toma;Romania;ROU
Figure skating;squaw-valley-1960;Pairs mixed;Mixed;GOLD;GameTeam;Canada team #1;barbara-wagner;Canada;CAN
Cycling Track;beijing-2008;Points Race men;Men;BRONZE;Athlete;;chris-newton;Great Britain;GBR
Gymnastics Artistic;london-1948;vault men;Men;BRONZE;Athlete;;janos-mogyorosi-klencs;Hungary;HUN
Tennis;sydney-2000;doubles men;Men;SILVER;GameTeam;Australia team;mark-woodforde;Australia;AUS
Shooting;london-1908;Small-Bore Rifle, 50 And 100 Yards, Team Men;Men;BRONZE;GameTeam;France team;;France;FRA
Speed skating;nagano-1998;500m men;Men;SILVER;Athlete;;jeremy-wotherspoon;Canada;CAN
Speed skating;lake-placid-1932;1500m men;Men;BRONZE;Athlete;;william-f-logan;Canada;CAN
Swimming;seoul-1988;50m freestyle men;Men;SILVER;Athlete;;thomas-michael-jager;United States of America;USA
Swimming;atlanta-1996;800m freestyle women;Women;BRONZE;Athlete;;kirsten-vlieghuis;Netherlands;NED
Athletics;atlanta-1996;shot put women;Women;GOLD;Athlete;;astrid-kumbernuss;Germany;GER
Sailing;london-2012;Elliott 6m - Match Racing women;Women;BRONZE;GameTeam;Finland team;;Finland;FIN
Athletics;los-angeles-1984;800m women;Women;BRONZE;Athlete;;fita-lovin;Romania;ROU
Athletics;los-angeles-1932;5000m men;Men;SILVER;Athlete;;ralph-anthony-hill;United States of America;USA
Equestrian Eventing;mexico-city-1968;team mixed;Open;GOLD;GameTeam;Great Britain team;;Great Britain;GBR
Athletics;melbourne-1956;javelin throw men;Men;BRONZE;Athlete;;viktor-tsybulenko;Soviet Union;URS
Volleyball;sydney-2000;volleyball women;Women;BRONZE;GameTeam;Brazil team;;Brazil;BRA
Swimming;berlin-1936;100m freestyle women;Women;BRONZE;Athlete;;gisela-arendt-jacobs;Germany;GER
Judo;barcelona-1992;48  52kg halflightweight women;Women;BRONZE;Athlete;;sharon-susan-rendle;Great Britain;GBR
Cross Country Skiing;salt-lake-city-2002;10km pursuit men;Men;GOLD;Athlete;;frode-estil;Norway;NOR
Equestrian Dressage;seoul-1988;individual mixed;Open;BRONZE;Athlete;;christine-stuckelberger;Switzerland;SUI
Equestrian Jumping;atlanta-1996;team mixed;Open;BRONZE;GameTeam;Brazil team;;Brazil;BRA
Judo;beijing-2008;+ 100kg (heavyweight) men;Men;BRONZE;Athlete;;teddy-riner;France;FRA
Boxing;tokyo-1964;60-63.5kg lightwelterweigh men;Men;BRONZE;Athlete;;habib-galhia;Tunisia;TUN
Boxing;rio-2016;52kg men;Men;BRONZE;Athlete;;jianguan-hu;People's Republic of China;CHN
Wrestling;beijing-2008;Light-Heavyweight, Greco-Roman (?84 kilograms) Men;Men;SILVER;Athlete;;zoltan-fodor;Hungary;HUN
Athletics;tokyo-1964;200m men;Men;SILVER;Athlete;;otis-paul-drayton;United States of America;USA
Cross Country Skiing;innsbruck-1964;10km women;Women;SILVER;Athlete;;yevdoyka-mekshilo;Soviet Union;URS
